links,date,id,neo_reference_id,name,nasa_jpl_url,absolute_magnitude_h,kilometers.estimated_diameter_min,kilometers.estimated_diameter_max,meters.estimated_diameter_min,meters.estimated_diameter_max,miles.estimated_diameter_min,miles.estimated_diameter_max,feet.estimated_diameter_min,feet.estimated_diameter_max,is_potentially_hazardous_asteroid,close_approach_date,close_approach_date_full,epoch_date_close_approach,orbiting_body,relative_velocity_km/s,relative_velocity_km/h,relative_velocity_m/h,miss_dist_astromnomical,miss_dist_lunar,miss_dist_km,miss_dist_miles,is_sentry_object,sentry_data
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/54387375?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-19,54387375,54387375,(2023 SE6),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54387375,21.5,0.1332155667,0.2978790628,133.2155666981,297.8790627982,0.0827762899,0.1850934111,437.0589598459,977.2935443908,False,2023-08-19,2023-Aug-19 11:04,1692443040000,Earth,14.4209936439,51915.5771179313,32258.3206819724,0.4493606221,174.8012819969,67223391.928034927,41770678.8119669126,False,
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/54418653?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-19,54418653,54418653,(2023 YA2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54418653,25.21,0.0241298697,0.0539560289,24.1298696921,53.9560289198,0.0149936013,0.0335267116,79.1662416807,177.0210979213,False,2023-08-19,2023-Aug-19 06:58,1692428280000,Earth,7.5523279306,27188.3805499973,16893.802347858,0.2303958787,89.6239968143,34466732.710298369,21416634.6036367322,False,
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/3329278?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-20,3329278,3329278,(2006 GB),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3329278,20.34,0.2272767323,0.5082062231,227.2767322847,508.2062230927,0.1412231704,0.315784609,745.6585943491,1667.3433049715,True,2023-08-20,2023-Aug-20 07:19,1692515940000,Earth,8.0886290828,29119.0646979464,18093.4543952323,0.1282835035,49.9022828615,19190938.879737545,11924696.464346321,False,
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/3527906?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-20,3527906,3527906,(2010 LH14),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3527906,22.08,0.1019893859,0.2280551997,101.9893858518,228.0551997482,0.0633732467,0.1417068875,334.6108566782,748.2126215418,False,2023-08-20,2023-Aug-20 22:24,1692570240000,Earth,11.1735433429,40224.7560342611,24994.0991036218,0.0726993491,28.2800467999,10875667.775746417,6757826.5912658746,False,
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/3726791?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-20,3726791,3726791,(2015 RH2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3726791,22.01,0.1053307015,0.2355266087,105.3307015051,235.5266086831,0.0654494433,0.1463494044,345.573178726,772.725118832,True,2023-08-20,2023-Aug-20 17:02,1692550920000,Earth,6.5269668248,23497.0805694542,14600.1720905034,0.368484419,143.340438991,55124484.21058753,34252766.166586714,False,
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/3755501?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-20,3755501,3755501,(2016 ND39),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3755501,25.2,0.0242412481,0.0542050786,24.2412481101,54.2050786336,0.0150628086,0.0336814639,79.5316564495,177.8381901842,False,2023-08-20,2023-Aug-20 10:39,1692527940000,Earth,10.8898670182,39203.52126556,24359.5435330364,0.1222357399,47.5497028211,18286206.326914013,11362521.7244108594,False,
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/3760649?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-20,3760649,3760649,(2016 TY18),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3760649,23.8,0.046190746,0.1032856481,46.1907460282,103.2856480504,0.0287015901,0.0641787064,151.544447199,338.8636855496,False,2023-08-20,2023-Aug-20 08:08,1692518880000,Earth,18.6685654464,67206.8356071196,41759.7140471016,0.4621005693,179.7571214577,69129260.893067391,42954930.8723403558,False,
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/3781594?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-20,3781594,3781594,(2017 SN2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3781594,21.1,0.160160338,0.358129403,160.1603379786,358.1294030194,0.0995189894,0.2225312253,525.4604432536,1174.9652706022,True,2023-08-20,2023-Aug-20 03:34,1692502440000,Earth,19.9071551466,71665.758527616,44530.3153473401,0.4839793707,188.2679752023,72402282.980660409,44988692.4907912842,False,
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/3837973?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-20,3837973,3837973,(2019 BO1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3837973,19.66,0.3108529381,0.6950883007,310.8529381331,695.0883006711,0.193155001,0.4319077125,1019.8587535445,2280.4735003738,False,2023-08-20,2023-Aug-20 08:20,1692519600000,Earth,12.8102834005,46117.0202416729,28655.3229384995,0.3925206556,152.6905350284,58720254.008763572,36487073.9129464136,False,
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/54128962?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-20,54128962,54128962,(2019 FN23),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54128962,24.53,0.0330031183,0.0737972161,33.0031183358,73.7972160683,0.0205071806,0.0458554499,108.2779507608,242.1168583656,False,2023-08-20,2023-Aug-20 05:05,1692507900000,Earth,2.6366442709,9491.9193750753,5897.9095694739,0.1929271188,75.0486492132,28861486.037716956,17933695.8273117528,False,
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/2613403?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-20,2613403,2613403,613403 (2006 GB),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2613403,20.23,0.2390864572,0.5346135707,239.0864571707,534.6135707332,0.148561391,0.3321933691,784.4044121439,1753.9815874044,True,2023-08-20,2023-Aug-20 07:19,1692515940000,Earth,8.0886321454,29119.0757235241,18093.4612460975,0.1282836488,49.9023393832,19190960.616308056,11924709.9708249328,False,
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/54353706?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-20,54353706,54353706,(2023 GE),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54353706,27.53,0.0082900085,0.0185370226,8.2900085145,18.5370225725,0.0051511709,0.0115183683,27.1981915348,60.8170051368,False,2023-08-20,2023-Aug-20 12:04,1692533040000,Earth,5.9345668933,21364.4408157605,13275.0326835485,0.4922226432,191.4746082048,73635458.988489984,45754952.5301064192,True,http://api.nasa.gov/neo/rest/v1/neo/sentry/54353706?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/54377192?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-20,54377192,54377192,(2023 QR),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54377192,29.31,0.0036522036,0.0081665754,3.6522035696,8.1665754493,0.0022693734,0.0050744732,11.9822955592,26.7932273969,False,2023-08-20,2023-Aug-20 20:21,1692562860000,Earth,20.8790558316,75164.600993764,46704.3599897085,0.0013877464,0.5398333496,207603.905540168,128999.0851355984,True,http://api.nasa.gov/neo/rest/v1/neo/sentry/54377192?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/54382910?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-20,54382910,54382910,(2023 RS9),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54382910,22.52,0.0832827346,0.1862258558,83.2827345523,186.225855811,0.0517494761,0.1157153463,273.2373268286,610.9772367791,False,2023-08-20,2023-Aug-20 12:38,1692535080000,Earth,7.6589276692,27572.1396090601,17132.2553031963,0.2284929729,88.8837664581,34182062.055807723,21239748.4612556574,False,
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/54419808?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-20,54419808,54419808,(2024 AD3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54419808,20.93,0.1732028271,0.3872932954,173.2028271414,387.2932953833,0.1076232139,0.2406528222,568.2507633985,1270.6473352252,False,2023-08-20,2023-Aug-20 17:49,1692553740000,Earth,13.6982318987,49313.6348352304,30641.5749341463,0.2255195078,87.7270885342,33737238.010328386,20963347.6162722868,False,
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/2674590?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-20,2674590,2674590,674590 (2015 RH2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2674590,22.0,0.1058168859,0.2366137501,105.8168859331,236.6137501138,0.0657515442,0.1470249225,347.1682720448,776.2918559233,True,2023-08-20,2023-Aug-20 17:02,1692550920000,Earth,6.5269666102,23497.0797968505,14600.1716104375,0.3684843873,143.3404266597,55124479.468335051,34252763.2198876638,False,
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/3274304?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-21,3274304,3274304,(2005 EY169),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3274304,22.29,0.0925880583,0.2070331923,92.5880583366,207.0331923453,0.0575315344,0.1286444218,303.766605313,679.2427787741,False,2023-08-21,2023-Aug-21 05:05,1692594300000,Earth,11.177992775,40240.7739898391,25004.0520382975,0.3963316818,154.1730242202,59290375.410797766,36841330.9250545308,False,
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/3467218?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-21,3467218,3467218,(2009 SY),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3467218,22.99,0.0670741189,0.1499822895,67.0741189325,149.9822894641,0.0416779124,0.0931946452,220.0594523586,492.0678945652,False,2023-08-21,2023-Aug-21 10:15,1692612900000,Earth,11.2142987133,40371.4753677911,25085.2647917255,0.2027245074,78.8598333786,30327154.503839238,18844419.9813199644,False,
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/3662879?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-21,3662879,3662879,(2014 DV110),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3662879,24.9,0.0278326768,0.0622357573,27.8326768072,62.2357573367,0.0172944182,0.0386714948,91.3145593761,204.1855621004,False,2023-08-21,2023-Aug-21 11:31,1692617460000,Earth,13.223608969,47604.9922884202,29579.8909027686,0.402500369,156.572643541,60213197.87661403,37414746.215692414,False,
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/3825018?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-21,3825018,3825018,(2018 KD2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3825018,25.73,0.0189913123,0.0424658654,18.9913123471,42.46586539,0.0118006507,0.0263870572,62.3074572008,139.3237098062,False,2023-08-21,2023-Aug-21 12:14,1692620040000,Earth,12.8796237078,46366.6453479716,28810.4302719105,0.0585879589,22.7907160121,8764633.859087543,5446090.9414443734,False,
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/3840765?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-21,3840765,3840765,(2019 GJ),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3840765,24.33,0.0361871997,0.0809170384,36.1871996599,80.917038355,0.0224856764,0.050279501,118.7244121323,265.4758561166,False,2023-08-21,2023-Aug-21 23:30,1692660600000,Earth,10.0552737127,36198.9853658143,22492.6417679972,0.1848776855,71.9174196595,27657307.961329885,17185454.267067013,False,
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/3842623?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-21,3842623,3842623,(2019 KK3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3842623,27.1,0.0101054342,0.0225964377,10.1054341542,22.5964377109,0.0062792237,0.0140407711,33.1543125905,74.1352966996,False,2023-08-21,2023-Aug-21 12:31,1692621060000,Earth,5.2305853937,18830.1074171687,11700.2964670735,0.3371202974,131.1397956886,50432478.424806538,31337288.9637767044,False,
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/54145076?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-21,54145076,54145076,(2021 JN5),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54145076,18.56,0.5158874663,1.1535594433,515.8874662642,1153.5594433068,0.3205575108,0.7167883848,1692.5442348181,3784.6439639787,False,2023-08-21,2023-Aug-21 07:13,1692601980000,Earth,28.180813397,101450.9282292256,63037.6614877652,0.3235998419,125.8803384991,48409847.080576753,30080484.1252870714,False,
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/54266166?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-21,54266166,54266166,(2022 BY39),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54266166,29.93,0.0027450798,0.0061381851,2.7450798165,6.1381850734,0.001705713,0.0038140902,9.0061676652,20.1384031162,False,2023-08-21,2023-Aug-21 08:55,1692608100000,Earth,2.2363523856,8050.8685882208,5002.4966513864,0.0687157555,26.7304288895,10279730.658240785,6387528.437401433,True,http://api.nasa.gov/neo/rest/v1/neo/sentry/54266166?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/54376902?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-21,54376902,54376902,(2023 PC1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54376902,22.18,0.0973991073,0.217791025,97.3991073414,217.7910249632,0.0605209807,0.135329027,319.5508873299,714.5375063401,False,2023-08-21,2023-Aug-21 06:23,1692598980000,Earth,27.6179160284,99424.4977021572,61778.5163638765,0.0624755232,24.3029785248,9346205.197855584,5807462.6143276992,False,
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/54376930?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-21,54376930,54376930,(2023 PM1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54376930,23.62,0.0501828101,0.1122121746,50.182810059,112.2121745938,0.0311821429,0.0697253911,164.6417705539,368.1501908944,False,2023-08-21,2023-Aug-21 16:22,1692634920000,Earth,18.5654571285,66835.6456627037,41529.0710508061,0.02090387,8.13160543,3127174.4267569,1943136.08436922,False,
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/54376987?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-21,54376987,54376987,(2023 QE),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54376987,27.39,0.0088420909,0.0197715164,8.8420909266,19.771516375,0.0054942189,0.0122854469,29.0094855955,64.8671817838,False,2023-08-21,2023-Aug-21 04:53,1692593580000,Earth,6.5392575844,23541.3273036656,14627.665290436,0.022178103,8.627282067,3317796.96944061,2061583.439916018,False,
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/54377387?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-21,54377387,54377387,(2023 QB1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54377387,28.95,0.0043107712,0.0096391775,4.3107712388,9.6391775254,0.0026785882,0.0059895054,14.142950711,31.6245991923,False,2023-08-21,2023-Aug-21 23:10,1692659400000,Earth,11.2902551174,40644.9184225882,25255.1716720798,0.0046767731,1.8192647359,699635.294233297,434733.2129896186,False,
